time,ene-0,ene-1,d00-re,d00-im,d01-re,d01-im,d10-re,d10-im,d11-re,d11-im
552,-0.7338,1.3273,0.0,0.0,-0.00018193836969523038,2.605574283904621e-06,0.00018193836969523038,2.605574283904621e-06,0.0,0.0
553,-0.7055,1.3718,0.0,0.0,-0.0028256857707981277,-1.3914060198547003e-05,0.0028256857707981277,-1.3914060198547003e-05,0.0,0.0
554,-0.6998,1.3884,0.0,0.0,-0.005139378367361635,1.2077873402167296e-05,0.005139378367361635,1.2077873402167296e-05,0.0,0.0
555,-0.7317,1.3532,0.0,0.0,1.8579123227641432e-05,0.00010358366355880227,-1.8579123227641432e-05,0.00010358366355880227,0.0,0.0
556,-0.7506,1.321,0.0,0.0,0.002499225553351436,5.961605981295689e-08,-0.002499225553351436,5.961605981295689e-08,0.0,0.0
557,-0.7717,1.294,0.0,0.0,-0.0007237486894418044,1.0674070158865252e-05,0.0007237486894418044,1.0674070158865252e-05,0.0,0.0
558,-0.7866,1.283,0.0,0.0,-0.0004884749121065724,-8.359010221480347e-06,0.0004884749121065724,-8.359010221480347e-06,0.0,0.0
559,-0.7581,1.3209,0.0,0.0,-0.0016444248425165208,-3.0999135688674115e-05,0.0016444248425165208,-3.0999135688674115e-05,0.0,0.0
560,-0.8495,1.2397,0.0,0.0,0.0017852305617689379,5.64772529940586e-07,-0.0017852305617689379,5.64772529940586e-07,0.0,0.0
561,-0.8883,1.2134,0.0,0.0,0.0018178036586697993,1.8590973514760215e-07,-0.0018178036586697993,1.8590973514760215e-07,0.0,0.0
562,-0.9667,1.1466,0.0,0.0,-0.005785370942093269,4.0023585109901537e-07,0.005785370942093269,4.0023585109901537e-07,0.0,0.0
563,-0.9893,1.1293,0.0,0.0,-0.007465377031317727,-8.651317303743672e-08,0.007465377031317727,-8.651317303743672e-08,0.0,0.0
564,-1.0523,1.0592,0.0,0.0,0.0017413541140778523,3.2491056451577374e-06,-0.0017413541140778523,3.2491056451577374e-06,0.0,0.0
565,-1.0922,0.9945,0.0,0.0,-0.0022166113982442434,2.021172816839076e-06,0.0022166113982442434,2.021172816839076e-06,0.0,0.0
566,-1.0935,0.9548,0.0,0.0,-0.002406611001715405,1.0265691033541022e-07,0.002406611001715405,1.0265691033541022e-07,0.0,0.0
567,-1.1712,0.8334,0.0,0.0,0.006380012272643506,-9.091297194717993e-08,-0.006380012272643506,-9.091297194717993e-08,0.0,0.0
568,-1.18,0.7746,0.0,0.0,-0.001480647797464616,-4.749838160021111e-09,0.001480647797464616,-4.749838160021111e-09,0.0,0.0
569,-1.2717,0.6296,0.0,0.0,0.0010746691149157285,-1.7658447074566714e-08,-0.0010746691149157285,-1.7658447074566714e-08,0.0,0.0
570,-1.2728,0.5703,0.0,0.0,-0.0033113956159103166,3.566024862206229e-08,0.0033113956159103166,3.566024862206229e-08,0.0,0.0
571,-1.2502,0.5281,0.0,0.0,0.0005797828936243784,-2.7133511259823776e-08,-0.0005797828936243784,-2.7133511259823776e-08,0.0,0.0
572,-1.3007,0.4235,0.0,0.0,0.0006273967395606187,1.9740451365282212e-08,-0.0006273967395606187,1.9740451365282212e-08,0.0,0.0
573,-1.2718,0.4174,0.0,0.0,-0.0003305622399108858,-2.296433716862305e-08,0.0003305622399108858,-2.296433716862305e-08,0.0,0.0
574,-1.3193,0.336,0.0,0.0,-0.0008465662805549398,-5.339921687833356e-08,0.0008465662805549398,-5.339921687833356e-08,0.0,0.0
575,-1.3178,0.3181,0.0,0.0,0.0010417617791474143,3.774164520574605e-11,-0.0010417617791474143,3.774164520574605e-11,0.0,0.0
576,-1.3075,0.324,0.0,0.0,-0.0026654334265302708,-9.333772300379254e-08,0.0026654334265302708,-9.333772300379254e-08,0.0,0.0
577,-1.2249,0.4148,0.0,0.0,0.0038109307959944207,1.5605005014342647e-07,-0.0038109307959944207,1.5605005014342647e-07,0.0,0.0
578,-1.2416,0.4196,0.0,0.0,-0.001325743275076005,1.271900432064507e-07,0.001325743275076005,1.271900432064507e-07,0.0,0.0
579,-1.2745,0.4319,0.0,0.0,-0.0010509685406781615,4.664759175578563e-07,0.0010509685406781615,4.664759175578563e-07,0.0,0.0
580,-1.312,0.4445,0.0,0.0,0.0008178217379539933,-1.708234080848432e-06,-0.0008178217379539933,-1.708234080848432e-06,0.0,0.0
581,-1.2781,0.5241,0.0,0.0,-0.00759846487126714,-1.569676877613425e-07,0.00759846487126714,-1.569676877613425e-07,0.0,0.0
582,-1.251,0.5808,0.0,0.0,0.005672641287706891,1.655333183736119e-07,-0.005672641287706891,1.655333183736119e-07,0.0,0.0
583,-1.2071,0.648,0.0,0.0,0.0002445230783582005,-8.300062639402297e-08,-0.0002445230783582005,-8.300062639402297e-08,0.0,0.0
584,-1.1953,0.6525,0.0,0.0,-0.0002554162269020053,-7.10500676150036e-08,0.0002554162269020053,-7.10500676150036e-08,0.0,0.0
585,-1.0909,0.7394,0.0,0.0,-0.00106880474205951,7.135999820118719e-08,0.00106880474205951,7.135999820118719e-08,0.0,0.0
586,-1.0688,0.7513,0.0,0.0,-0.00037267633720994715,1.8085968971390521e-09,0.00037267633720994715,1.8085968971390521e-09,0.0,0.0
587,-0.9388,0.8783,0.0,0.0,-0.00037267633720994715,1.8085968971390521e-09,0.00037267633720994715,1.8085968971390521e-09,0.0,0.0
588,-0.8877,0.9338,0.0,0.0,0.0034481296980501267,2.04921849635353e-08,-0.0034481296980501267,2.04921849635353e-08,0.0,0.0
589,-0.7755,1.0583,0.0,0.0,0.0034481296980501267,2.04921849635353e-08,-0.0034481296980501267,2.04921849635353e-08,0.0,0.0
590,-0.7389,1.1134,0.0,0.0,0.0001257072380490234,-5.954617350430766e-09,-0.0001257072380490234,-5.954617350430766e-09,0.0,0.0
591,-0.7257,1.1482,0.0,0.0,0.00686010082771217,2.0352716199752693e-09,-0.00686010082771217,2.0352716199752693e-09,0.0,0.0
592,-0.7294,1.1662,0.0,0.0,0.00022652583461344288,1.610849029013301e-07,-0.00022652583461344288,1.610849029013301e-07,0.0,0.0
593,-0.6645,1.2511,0.0,0.0,-0.0006589063491559482,4.368805851124843e-07,0.0006589063491559482,4.368805851124843e-07,0.0,0.0
594,-0.6863,1.2483,0.0,0.0,-0.010680147229182578,2.156752255618593e-09,0.010680147229182578,2.156752255618593e-09,0.0,0.0
595,-0.695,1.2593,0.0,0.0,-0.009630333331864709,2.8571346096902834e-09,0.009630333331864709,2.8571346096902834e-09,0.0,0.0
596,-0.7041,1.2714,0.0,0.0,-0.0011998263781010342,3.173142266191176e-08,0.0011998263781010342,3.173142266191176e-08,0.0,0.0
597,-0.7036,1.2955,0.0,0.0,-0.0010591118149033767,-1.1712337622580205e-07,0.0010591118149033767,-1.1712337622580205e-07,0.0,0.0
598,-0.6999,1.325,0.0,0.0,0.001442878805442442,-1.7051347749865962e-07,-0.001442878805442442,-1.7051347749865962e-07,0.0,0.0
599,-0.7799,1.2734,0.0,0.0,-0.0014541821562326662,4.827016953051138e-08,0.0014541821562326662,4.827016953051138e-08,0.0,0.0
600,-0.7914,1.2917,0.0,0.0,0.0015245242451557015,-1.748585827755469e-08,-0.0015245242451557015,-1.748585827755469e-08,0.0,0.0
601,-0.7997,1.3133,0.0,0.0,0.0017862940490744699,-1.170717211281048e-07,-0.0017862940490744699,-1.170717211281048e-07,0.0,0.0
602,-0.8118,1.3299,0.0,0.0,-0.0023917829501411323,-7.3888059453194334e-09,0.0023917829501411323,-7.3888059453194334e-09,0.0,0.0
603,-0.7512,1.415,0.0,0.0,0.0005905393080860434,-5.665956510357835e-08,-0.0005905393080860434,-5.665956510357835e-08,0.0,0.0
604,-0.764,1.4094,0.0,0.0,-0.007060036441152158,1.9188349526953252e-07,0.007060036441152158,1.9188349526953252e-07,0.0,0.0
605,-0.7733,1.3866,0.0,0.0,0.0027089756353539034,1.570254199293571e-07,-0.0027089756353539034,1.570254199293571e-07,0.0,0.0
606,-0.8611,1.2752,0.0,0.0,0.0014874237308684331,1.2390842523509526e-06,-0.0014874237308684331,1.2390842523509526e-06,0.0,0.0
607,-0.9368,1.1686,0.0,0.0,-0.0011172693778401758,-2.903259573398779e-08,0.0011172693778401758,-2.903259573398779e-08,0.0,0.0
608,-1.0046,1.0623,0.0,0.0,-0.01644090603649068,-2.1958885884621654e-09,0.01644090603649068,-2.1958885884621654e-09,0.0,0.0
609,-0.9916,1.0263,0.0,0.0,-0.0011200952155377317,9.726351042878441e-07,0.0011200952155377317,9.726351042878441e-07,0.0,0.0
610,-0.9649,0.9924,0.0,0.0,-0.013536977985356996,4.697575355292118e-09,0.013536977985356996,4.697575355292118e-09,0.0,0.0
611,-1.0226,0.8672,0.0,0.0,-0.011550383698623498,4.143954249383823e-09,0.011550383698623498,4.143954249383823e-09,0.0,0.0
612,-1.0129,0.8122,0.0,0.0,-2.7650366090312254e-05,3.092317230970756e-08,2.7650366090312254e-05,3.092317230970756e-08,0.0,0.0
613,-1.0748,0.6937,0.0,0.0,-0.00831920541090187,2.3737036659470907e-09,0.00831920541090187,2.3737036659470907e-09,0.0,0.0
614,-1.05,0.677,0.0,0.0,4.374275214410435e-05,2.0455418688115486e-08,-4.374275214410435e-05,2.0455418688115486e-08,0.0,0.0
615,-1.1279,0.5879,0.0,0.0,-0.005448397392997605,3.5046464520012477e-09,0.005448397392997605,3.5046464520012477e-09,0.0,0.0
616,-1.2249,0.485,0.0,0.0,0.0001164002048580404,4.7419379686085895e-08,-0.0001164002048580404,4.7419379686085895e-08,0.0,0.0
617,-1.2035,0.4994,0.0,0.0,-0.00011882495591465302,1.9405908644313483e-09,0.00011882495591465302,1.9405908644313483e-09,0.0,0.0
618,-1.2743,0.4241,0.0,0.0,-0.00011176036167076286,2.742976843779336e-09,0.00011176036167076286,2.742976843779336e-09,0.0,0.0
619,-1.1861,0.5116,0.0,0.0,-0.0015208780029653064,4.747103478378316e-10,0.0015208780029653064,4.747103478378316e-10,0.0,0.0
620,-1.1838,0.5177,0.0,0.0,-3.795130413169376e-05,3.0059924471131564e-10,3.795130413169376e-05,3.0059924471131564e-10,0.0,0.0
621,-1.1991,0.5317,0.0,0.0,-0.0002895298611283084,2.6489037952671474e-09,0.0002895298611283084,2.6489037952671474e-09,0.0,0.0
622,-1.232,0.544,0.0,0.0,-0.00022989557010439951,-2.06343884089607e-08,0.00022989557010439951,-2.06343884089607e-08,0.0,0.0
623,-1.2334,0.5762,0.0,0.0,-1.7564252484648182e-05,-2.5715730754791883e-08,1.7564252484648182e-05,-2.5715730754791883e-08,0.0,0.0
624,-1.1459,0.6835,0.0,0.0,0.008860064669143781,-2.1177678495329544e-08,-0.008860064669143781,-2.1177678495329544e-08,0.0,0.0
625,-1.0809,0.7751,0.0,0.0,-0.00048792797577801317,1.360139493072064e-08,0.00048792797577801317,1.360139493072064e-08,0.0,0.0
626,-1.1345,0.7808,0.0,0.0,0.015077819164314714,-3.0880632817486285e-07,-0.015077819164314714,-3.0880632817486285e-07,0.0,0.0
627,-1.1495,0.8132,0.0,0.0,-0.01083359325469503,-6.600002218130666e-08,0.01083359325469503,-6.600002218130666e-08,0.0,0.0
628,-1.1038,0.8838,0.0,0.0,0.005770482119815822,-1.8978690601005542e-08,-0.005770482119815822,-1.8978690601005542e-08,0.0,0.0
629,-1.0401,0.9724,0.0,0.0,0.0013640288180751519,6.56414750325845e-08,-0.0013640288180751519,6.56414750325845e-08,0.0,0.0
630,-1.0288,1.0237,0.0,0.0,-0.012335237330106004,-3.978354083236721e-11,0.012335237330106004,-3.978354083236721e-11,0.0,0.0
631,-1.0365,1.0661,0.0,0.0,-0.0018592796635855413,-1.6031007643587117e-08,0.0018592796635855413,-1.6031007643587117e-08,0.0,0.0
632,-0.9756,1.172,0.0,0.0,-0.013167188256547778,7.675035957265435e-09,0.013167188256547778,7.675035957265435e-09,0.0,0.0
633,-0.9752,1.2023,0.0,0.0,0.011603861917415957,-4.3043889057611996e-09,-0.011603861917415957,-4.3043889057611996e-09,0.0,0.0
