,Time,energy,state-1,state-2
93,93,0.8545,0.0,1.0
94,94,0.8444,0.0,1.0
95,95,0.765,0.0,1.0
96,96,0.748,0.0,1.0
97,97,0.7224,0.0,1.0
98,98,0.7186,0.0,1.0
99,99,0.7249,0.0,1.0
100,100,0.0,0.0,0.0
101,1,1.3506,0.0,1.0
102,2,1.3515,0.0,1.0
103,3,1.4259,0.0,1.0
104,4,1.3531,0.0,1.0
105,5,1.4065,0.0,1.0
106,6,1.3847,0.0,1.0
107,7,1.3648,0.0,1.0
108,8,1.4259,0.0,1.0
109,9,1.4173,0.0,1.0
110,10,1.4222,0.0,1.0
111,11,1.4403,0.0,1.0
112,12,1.3852,0.0,1.0
113,13,1.4783,0.0,1.0
114,14,1.5003,0.0,1.0
115,15,1.5211,0.0,1.0
116,16,1.5093,0.0,1.0
117,17,1.4862,0.0,1.0
118,18,1.4573,0.0,1.0
119,19,1.4280000000000002,0.0,1.0
120,20,1.3939,0.0,1.0
121,21,1.4451,0.0,1.0
122,22,1.4263,0.0,1.0
123,23,1.4075,0.0,1.0
124,24,1.3884,0.0,1.0
125,25,1.3787,0.0,1.0
126,26,1.3641,0.0,1.0
127,27,1.3559,0.0,1.0
128,28,1.3437,0.0,1.0
129,29,1.3395,0.0,1.0
130,30,1.3485,0.0,1.0
131,31,1.2922,0.0,1.0
132,32,1.327,0.0,1.0
133,33,1.2789,0.0,1.0
134,34,1.2948,0.0,1.0
135,35,1.3086,0.0,1.0
136,36,1.2589,0.0,1.0
137,37,1.1962,0.0,1.0
138,38,1.1886,0.0,1.0
139,39,1.1042,0.0,1.0
140,40,1.0286,0.0,1.0
141,41,0.9531,0.0,1.0
142,42,0.8778,0.0,1.0
143,43,0.8855,0.0,1.0
144,44,0.7961,0.0,1.0
145,45,0.7718,0.0,1.0
146,46,0.7487,0.0,1.0
147,47,0.6751,0.0,1.0
148,48,0.6746,0.0,1.0
149,49,0.6722,0.0,1.0
150,50,0.6789,0.0,1.0
151,51,0.6952,0.0,1.0
152,52,0.7112,0.0,1.0
153,53,0.7185,0.0,1.0
154,54,0.7846,0.0,1.0
155,55,0.7749,0.0,1.0
156,56,0.8451,0.0,1.0
157,57,0.8654,0.0,1.0
158,58,0.9372,0.0,1.0
159,59,0.9367,0.0,1.0
160,60,1.0112,0.0,1.0
161,61,1.0047,0.0,1.0
162,62,1.0708,0.0,1.0
163,63,1.1347,0.0,1.0
164,64,1.1384,0.0,1.0
165,65,1.22,0.0,1.0
166,66,1.3005,0.0,1.0
167,67,1.308,0.0,1.0
168,68,1.3841,0.0,1.0
169,69,1.3936,0.0,1.0
170,70,1.3982,0.0,1.0
171,71,1.3984,0.0,1.0
172,72,1.3952,0.0,1.0
173,73,1.3939,0.0,1.0
174,74,1.3159,0.0,1.0
175,75,1.3138,0.0,1.0
176,76,1.31,0.0,1.0
177,77,1.2338,0.0,1.0
178,78,1.2274,0.0,1.0
179,79,1.2286,0.0,1.0
180,80,1.1643,0.0,1.0
181,81,1.1505,0.0,1.0
182,82,1.0658,0.0,1.0
183,83,1.0542,0.0,1.0
184,84,1.0458,0.0,1.0
185,85,0.9574,0.0,1.0
186,86,0.9496,0.0,1.0
187,87,0.9483,0.0,1.0
188,88,0.9422,0.0,1.0
189,89,0.8669,0.0,1.0
190,90,0.8615,0.0,1.0
191,91,0.8513485000000001,0.00125,0.99875
192,92,0.850928125,0.00125,0.99875
193,93,0.8519151250000001,0.00125,0.99875
194,94,0.841809125,0.00125,0.99875
195,95,0.762405875,0.00125,0.99875
196,96,0.74540325,0.00125,0.99875
197,97,0.71980275,0.00125,0.99875
198,98,0.7160071250000001,0.00125,0.99875
199,99,0.722321125,0.00125,0.99875
200,100,0.0,0.0,0.0
